a,e,i,RAAN,argp,nu
6.7781e+06,0.001,1.69367,0,0,0
6.7781e+06,0.00100002,1.69367,-0,0.000163337,6.28314
6.7781e+06,0.00100004,1.69367,0,0.00032667,6.28309
6.7781e+06,0.00100006,1.69367,0,0.000489999,6.28304
6.7781e+06,0.00100008,1.69367,0,0.000653324,6.28299
6.7781e+06,0.00100009,1.69367,0,0.000816644,6.28294
6.7781e+06,0.00100011,1.69367,0,0.000979961,6.28289
6.7781e+06,0.00100013,1.69367,0,0.00114327,6.28284
6.7781e+06,0.00100015,1.69367,0,0.00130658,6.28279
6.7781e+06,0.00100017,1.69367,0,0.00146989,6.28274
6.7781e+06,0.00100019,1.69367,0,0.00163319,6.28269
6.7781e+06,0.00100021,1.69367,0,0.00179649,6.28264
6.7781e+06,0.00100022,1.69367,0,0.00195978,6.28259
6.7781e+06,0.00100024,1.69367,0,0.00212307,6.28254
6.7781e+06,0.00100026,1.69367,0,0.00228635,6.28249
6.7781e+06,0.00100028,1.69367,0,0.00244963,6.28244
6.7781e+06,0.0010003,1.69367,0,0.00261291,6.28239
6.7781e+06,0.00100031,1.69367,0,0.00277618,6.28234
6.7781e+06,0.00100033,1.69367,0,0.00293945,6.28229
6.7781e+06,0.00100035,1.69367,0,0.00310272,6.28224
6.7781e+06,0.00100037,1.69367,0,0.00326598,6.28219
6.7781e+06,0.00100038,1.69367,0,0.00342923,6.28214
6.7781e+06,0.0010004,1.69367,0,0.00359249,6.28209
6.7781e+06,0.00100042,1.69367,0,0.00375574,6.28204
6.7781e+06,0.00100044,1.69367,0,0.00391898,6.28199
6.7781e+06,0.00100045,1.69367,0,0.00408222,6.28194
6.7781e+06,0.00100047,1.69367,0,0.00424546,6.28189
6.7781e+06,0.00100049,1.69367,0,0.00440869,6.28184
6.7781e+06,0.00100051,1.69367,0,0.00457192,6.28179
6.7781e+06,0.00100052,1.69367,0,0.00473515,6.28174
6.7781e+06,0.00100054,1.69367,0,0.00489837,6.28169
6.77811e+06,0.00100056,1.69367,0,0.00506159,6.28164
6.77811e+06,0.00100057,1.69367,0,0.0052248,6.28159
6.77811e+06,0.00100059,1.69367,0,0.00538801,6.28154
6.77811e+06,0.00100061,1.69367,0,0.00555122,6.28149
6.77811e+06,0.00100063,1.69367,0,0.00571442,6.28144
6.77811e+06,0.00100064,1.69367,0,0.00587762,6.28139
6.77811e+06,0.00100066,1.69367,0,0.00604082,6.28134
6.77811e+06,0.00100068,1.69367,0,0.00620401,6.28129
6.77811e+06,0.00100069,1.69367,0,0.00636719,6.28124
6.77811e+06,0.00100071,1.69367,0,0.00653038,6.28119
6.77811e+06,0.00100072,1.69367,0,0.00669356,6.28114
6.77811e+06,0.00100074,1.69367,0,0.00685673,6.28109
6.77811e+06,0.00100076,1.69367,0,0.0070199,6.28104
6.77811e+06,0.00100077,1.69367,0,0.00718307,6.28099
6.77811e+06,0.00100079,1.69367,0,0.00734623,6.28094
6.77811e+06,0.00100081,1.69367,0,0.00750939,6.28089
6.77811e+06,0.00100082,1.69367,0,0.00767255,6.28084
6.77811e+06,0.00100084,1.69367,0,0.0078357,6.28079
6.77811e+06,0.00100085,1.69367,0,0.00799885,6.28074
6.77811e+06,0.00100087,1.69367,0,0.008162,6.28069
6.77811e+06,0.00100088,1.69367,0,0.00832514,6.28064
6.77811e+06,0.0010009,1.69367,0,0.00848828,6.28059
6.77811e+06,0.00100092,1.69367,0,0.00865141,6.28054
6.77811e+06,0.00100093,1.69367,0,0.00881454,6.28049
6.77811e+06,0.00100095,1.69367,0,0.00897767,6.28044
6.77811e+06,0.00100096,1.69367,0,0.00914079,6.28039
6.77811e+06,0.00100098,1.69367,0,0.00930391,6.28034
6.77811e+06,0.00100099,1.69367,0,0.00946702,6.28029
6.77811e+06,0.00100101,1.69367,0,0.00963013,6.28024
6.77811e+06,0.00100102,1.69367,0,0.00979324,6.28019
6.77811e+06,0.00100104,1.69367,0,0.00995634,6.28014
6.77811e+06,0.00100105,1.69367,0,0.0101194,6.28009
6.77811e+06,0.00100107,1.69367,0,0.0102825,6.28004
6.77811e+06,0.00100108,1.69367,0,0.0104456,6.27999
6.77811e+06,0.0010011,1.69367,0,0.0106087,6.27995
6.77811e+06,0.00100111,1.69367,0,0.0107718,6.2799
6.77811e+06,0.00100113,1.69367,0,0.0109349,6.27985
6.77811e+06,0.00100114,1.69367,0,0.011098,6.2798
6.77811e+06,0.00100116,1.69367,0,0.011261,6.27975
6.77811e+06,0.00100117,1.69367,0,0.0114241,6.2797
6.77811e+06,0.00100119,1.69367,0,0.0115872,6.27965
6.77811e+06,0.0010012,1.69367,0,0.0117502,6.2796
6.77811e+06,0.00100121,1.69367,0,0.0119133,6.27955
6.77811e+06,0.00100123,1.69367,0,0.0120764,6.2795
6.77811e+06,0.00100124,1.69367,0,0.0122394,6.27945
6.77811e+06,0.00100126,1.69367,0,0.0124025,6.2794
6.77811e+06,0.00100127,1.69367,0,0.0125655,6.27935
6.77811e+06,0.00100129,1.69367,0,0.0127285,6.2793
6.77811e+06,0.0010013,1.69367,0,0.0128916,6.27925
6.77811e+06,0.00100131,1.69367,0,0.0130546,6.2792
6.77811e+06,0.00100133,1.69367,0,0.0132176,6.27915
6.77811e+06,0.00100134,1.69367,0,0.0133807,6.2791
6.77811e+06,0.00100135,1.69367,0,0.0135437,6.27905
6.77811e+06,0.00100137,1.69367,0,0.0137067,6.279
6.77811e+06,0.00100138,1.69367,0,0.0138697,6.27895
6.77811e+06,0.00100139,1.69367,0,0.0140327,6.2789
6.77811e+06,0.00100141,1.69367,0,0.0141957,6.27885
6.77811e+06,0.00100142,1.69367,0,0.0143587,6.2788
6.77811e+06,0.00100143,1.69367,0,0.0145217,6.27875
6.77811e+06,0.00100145,1.69367,0,0.0146847,6.2787
6.77811e+06,0.00100146,1.69367,0,0.0148477,6.27865
6.77811e+06,0.00100147,1.69367,0,0.0150107,6.2786
6.77811e+06,0.00100149,1.69367,0,0.0151737,6.27855
6.77811e+06,0.0010015,1.69367,0,0.0153367,6.2785
6.77811e+06,0.00100151,1.69367,0,0.0154997,6.27846
6.77811e+06,0.00100153,1.69367,0,0.0156627,6.27841
6.77811e+06,0.00100154,1.69367,0,0.0158256,6.27836
6.77811e+06,0.00100155,1.69367,0,0.0159886,6.27831
6.77811e+06,0.00100156,1.69367,0,0.0161516,6.27826
6.77811e+06,0.00100158,1.69367,0,0.0163145,6.27821
6.77811e+06,0.00100159,1.69367,0,0.0164775,6.27816
