pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_w,q_x,q_y,q_z,wx,wy,wz
6.77132e+06,0,0,0,-940.819,7618.38,1,0,0,0,0,0,0
6.77132e+06,-94.0819,761.838,-0.870595,-940.819,7618.38,1,2.86255e-06,3.29719e-08,-1.80797e-08,0.000114234,1.31035e-06,-7.20054e-07
6.77132e+06,-188.164,1523.68,-1.74119,-940.819,7618.38,1,1.13968e-05,1.30193e-07,-7.16915e-08,0.000226874,2.57016e-06,-1.42134e-06
6.77132e+06,-282.246,2285.51,-2.61178,-940.819,7618.38,1,2.55237e-05,2.89166e-07,-1.59906e-07,0.00033794,3.78064e-06,-2.10421e-06
6.77132e+06,-376.327,3047.35,-3.48238,-940.818,7618.38,1,4.5165e-05,5.07454e-07,-2.81811e-07,0.000447455,4.94298e-06,-2.76902e-06
6.77132e+06,-470.409,3809.19,-4.35297,-940.818,7618.38,1,7.02436e-05,7.8268e-07,-4.36512e-07,0.000555438,6.05833e-06,-3.41609e-06
6.77132e+06,-564.491,4571.03,-5.22357,-940.818,7618.38,1,0.000100684,1.11252e-06,-6.23131e-07,0.000661912,7.12782e-06,-4.04578e-06
6.77132e+06,-658.573,5332.86,-6.09416,-940.818,7618.38,1,0.00013641,1.49472e-06,-8.40808e-07,0.000766897,8.15258e-06,-4.65841e-06
6.77132e+06,-752.655,6094.7,-6.96476,-940.818,7618.38,1,0.000177349,1.92705e-06,-1.0887e-06,0.000870412,9.13369e-06,-5.25431e-06
6.77132e+06,-846.737,6856.54,-7.83535,-940.818,7618.37,1,0.000223427,2.40737e-06,-1.36597e-06,0.000972478,1.00722e-05,-5.83379e-06
6.77132e+06,-940.818,7618.38,-8.70595,-940.818,7618.37,1,0.000274573,2.93358e-06,-1.67182e-06,0.00107311,1.09692e-05,-6.39718e-06
6.77132e+06,-1034.9,8380.21,-9.57654,-940.818,7618.37,1,0.000330715,3.50361e-06,-2.00544e-06,0.00117234,1.18257e-05,-6.94478e-06
6.77132e+06,-1128.98,9142.05,-10.4471,-940.818,7618.37,1,0.000391784,4.11548e-06,-2.36606e-06,0.00127017,1.26426e-05,-7.47689e-06
6.77131e+06,-1223.06,9903.89,-11.3177,-940.818,7618.37,1,0.00045771,4.76723e-06,-2.7529e-06,0.00136664,1.34211e-05,-7.99382e-06
6.77131e+06,-1317.15,10665.7,-12.1883,-940.817,7618.37,1,0.000528425,5.45695e-06,-3.16523e-06,0.00146175,1.4162e-05,-8.49586e-06
